spelling	%Bel	%Ned	Obs_Bel	Obs_Bel	
leerplan	99.6	99.7	253	313	
leerplicht	100.0	99.3	236	319	
leerplichtig	99.2	99.2	256	279	
leerpunt	93.2	94.4	265	301	
leerrijk	100.0	83.8	256	331	
leerschool	98.2	98.0	233	309	
leerstijl	99.5	98.0	221	317	
leerstoel	95.1	98.6	236	296	
leerstof	98.4	99.7	271	313	
leerstoornis	98.1	100.0	226	305	
leertijd	95.7	93.0	245	315	
leertje	65.4	87.5	274	304	
leervak	92.1	94.2	267	307	
leerwaren	63.4	82.5	239	313	
leerweg	83.2	97.3	238	349	
leerwerk	83.2	97.9	257	345	
leerzaam	100.0	100.0	222	309	
leesbaar	98.9	99.7	296	306	
leesbeurt	96.8	99.4	261	334	
leesblind	85.2	96.7	263	283	
leesboek	98.9	99.3	284	299	
leesbril	99.2	99.3	250	321	
leescafé	94.6	93.4	274	304	
leesclub	98.4	100.0	268	310	
leesdeel	76.3	82.0	262	321	
leesdoel	88.0	88.1	229	302	
leesdrama	86.8	82.8	256	331	
leesfout	98.2	99.1	233	336	
leesgemak	91.2	97.1	252	359	
leesgenot	98.0	98.4	264	332	
leesglas	72.1	82.9	253	289	
leesgraag	73.2	73.8	263	317	
leesgroep	98.3	100.0	245	310	
leeshoek	98.7	100.0	235	320	
leeshonger	89.2	88.5	262	320	
leesjaar	80.5	79.9	265	298	
leeskaart	94.8	96.6	244	312	
leeskamer	97.6	97.5	265	343	
leeskop	74.9	64.3	247	292	
leeskring	99.1	99.0	236	331	
leeslamp	100.0	99.7	236	319	
leesles	96.0	95.8	238	349	
leeslijst	96.9	99.0	241	325	
leeslint	85.3	85.3	237	344	
leeslust	95.2	88.2	265	322	
leesmap	95.6	99.7	264	341	
leesniveau	98.4	99.3	266	297	
leespauze	98.7	100.0	235	334	
leespen	79.3	83.8	229	325	
leesplank	90.4	99.1	262	344	
leesregel	96.7	99.0	259	330	
leesstof	82.7	99.0	249	302	
leesstuk	91.6	94.4	264	302	
leest	98.8	98.7	273	335	
leestafel	98.3	99.1	254	333	
leesteken	99.1	99.2	242	265	
leestekst	96.6	97.7	245	321	
leestempo	98.7	98.7	236	317	
leesten	67.1	67.6	259	302	
leestest	98.8	99.7	269	313	
leestijd	92.7	95.8	259	304	
leestip	97.8	99.1	243	337	
leestoon	91.6	92.7	263	301	
leesuur	97.3	96.5	274	303	
leesvoer	96.8	99.0	296	306	
leesvorm	94.8	97.7	244	322	
leeswerk	95.5	98.6	236	296	
leeswijze	99.5	99.3	211	310	
leeswoede	85.6	82.6	264	290	
leeszaal	100.0	97.9	270	302	
leeuw	100.0	99.7	250	331	
leeuwenbek	93.4	97.7	270	314	
leeuwendeel	89.2	93.7	264	319	
leeuwentemmer	97.7	99.3	227	318	
leeuwerik	97.3	98.5	237	289	
leeuwin	100.0	98.6	254	308	
leeuwtje	96.0	99.3	235	319	
leewater	16.1	20.3	246	317	
leewieken	15.1	10.7	264	309	
lef	99.6	99.7	237	334	
lefdoekje	37.4	44.3	227	310	
lefgozer	94.3	97.7	260	321	
lefhebber	57.6	57.3	256	313	
lefmaker	49.9	38.8	254	315	
leg	89.1	97.4	252	359	
legaal	99.6	100.0	246	320	
legaat	86.0	86.0	255	309	
legaliseren	99.2	98.6	255	305	
legalisme	74.2	75.7	265	338	
legaliteit	97.6	99.4	258	333	
legataris	31.4	19.2	261	336	
legateren	49.8	55.0	239	325	
legatie	74.7	74.6	266	340	
legato	62.5	62.8	236	317	
legbatterij	97.7	99.4	228	324	
legboor	43.4	49.1	249	327	
legbuis	68.1	72.7	254	293	
legen	81.3	95.3	276	314	
legenda	65.0	97.1	277	326	
legendarisch	98.8	99.3	261	288	
legende	99.6	99.0	246	313	
leger	98.8	100.0	267	301	
legerbasis	98.7	99.7	252	314	
legerdienst	99.6	92.3	252	328	
legereenheid	96.8	98.9	266	294	
legeren	84.5	91.9	245	286	
legering	96.4	99.3	236	296	
legerjeep	95.8	95.1	251	325	
legerstede	59.7	66.6	264	303	
legertank	95.2	96.6	239	313	
legertent	98.7	98.9	240	293	
legertje	99.1	99.0	247	326	
legertop	95.1	95.2	260	331	
leges	20.0	87.4	267	292	
leggen	99.6	99.7	258	352	
legger	86.8	88.6	248	314	
legging	96.2	97.7	251	315	
leghen	9.4	13.9	222	318	
leghorn	30.0	46.8	266	297	
legio	84.9	93.3	244	330	
legioen	97.0	99.7	248	351	
legionair	92.0	95.8	264	304	
legionella	81.5	96.0	262	293	
legislatief	78.7	53.6	237	304	
legislatuur	88.9	59.1	247	322	
legitiem	94.5	98.4	231	322	
legitimaris	71.0	27.8	29	35	
legitimatie	96.0	99.3	263	300	
legitimeren	94.3	99.1	238	344	
legitimiteit	95.7	95.7	245	315	
legkast	84.6	87.3	240	306	
legkip	98.7	97.1	244	329	
lego	96.6	97.9	251	306	
legplank	94.7	90.7	259	295	
legpuzzel	98.6	99.1	219	336	
legras	13.7	15.9	239	268	
legsel	75.7	82.8	230	287	
legtijd	94.4	90.3	245	346	
leguaan	95.8	98.4	251	322	
lei	97.6	96.0	263	345	
leiband	98.8	85.5	271	297	
leiboom	58.2	66.6	252	306	
leidekker	65.9	83.1	222	323	
leiden	98.7	98.5	246	346	
leidende	97.1	100.0	36	30	
leider	100.0	99.7	274	334	
leiders	99.1	99.7	245	321	
leiderschap	99.2	99.0	267	301	
leiding	100.0	99.7	225	301	
leidinggevend	99.2	99.3	250	314	
leidmotief	73.4	62.3	261	307	
leidraad	97.2	98.6	228	305	
leidsel	63.0	83.5	236	326	
leidsman	77.8	91.4	237	282	
leidsnoer	61.6	65.6	233	309	
leidster	98.1	99.3	274	303	
leidtoon	61.8	35.3	251	322	
leien	94.0	84.0	263	316	
leigrijs	74.3	70.1	258	352	
leiplaat	75.3	73.3	230	307	
leireep	24.2	33.0	261	336	
leiriem	40.4	49.4	258	314	
leis	19.2	18.5	258	301	
leisel	24.8	28.2	266	305	
leisteen	98.8	97.6	259	304	
leitmotiv	50.7	50.7	235	320	
leizeel	35.2	17.4	263	339	
lek	99.1	98.8	242	343	
lekbak	65.9	90.3	247	326	
lekbier	16.9	21.2	256	318	
leken	94.7	98.1	239	277	
lekenorde	81.4	74.4	221	317	
lekenspel	77.2	78.6	245	315	
lekenzuster	87.9	66.6	26	41	
lekgat	62.6	72.5	270	302	
lekkage	88.5	99.4	265	338	
lekken	98.8	99.7	272	313	
lekker	99.2	100.0	274	307	
lekkerbek	99.1	99.7	245	310	
lekkere	97.3	99.0	274	304	
lekkernij	99.2	99.4	257	327	
lekkers	98.4	99.7	264	302	
lekkertje	79.5	97.6	246	346	
lekolie	55.8	63.7	255	316	
lekstok	89.2	40.6	244	287	
lekvrij	95.0	95.0	271	337	
lel	96.3	97.6	230	307	
leliaard	61.0	4.4	243	347	
leliaards	58.3	4.8	245	324	
lelie	98.5	98.4	213	325	
lelijk	98.8	98.4	260	330	
lelijkerd	92.9	98.9	266	294	
lelijkheid	95.6	97.5	238	341	
lellebel	81.1	97.8	240	329	
lellen	79.5	84.6	251	294	
lemen	76.1	78.9	247	335	
lemma	48.5	48.7	231	363	
lemmer	22.6	48.3	264	328	
lemmeraak	5.9	33.4	235	327	
lemmet	90.0	91.7	241	293	
lemmeten	30.7	48.0	237	320	
lemmetje	53.3	52.2	221	317	
lemming	68.0	83.3	263	341	
lemuur	30.1	30.0	238	373	
lende	88.5	90.5	274	322	
lendendoek	95.3	94.3	244	333	
lendenen	60.1	79.4	29	46	
lendenstuk	100.0	88.8	35	47	
lenen	98.3	99.7	243	331	
lener	92.3	94.7	231	340	
leng	35.9	33.9	256	331	
lengen	72.2	81.0	242	310	
lengte	99.5	99.4	233	334	
lengteas	85.0	91.8	260	307	
lengtecirkel	74.6	79.6	253	299	
lengtegraad	96.9	96.5	237	301	
lengtemaat	99.6	99.3	259	302	
lenig	99.6	100.0	263	300	
lenigen	77.1	84.0	257	316	
lenigheid	98.1	99.0	274	303	
leniging	56.5	61.3	259	321	
lening	100.0	100.0	238	341	
leninisme	74.3	76.1	242	321	
leninist	62.8	68.0	255	316	
lens	98.7	99.7	244	309	
lensdop	89.8	90.3	227	314	
lenskap	86.2	93.0	252	314	
lenskop	81.4	72.5	244	322	
lensput	22.4	21.5	259	315	
lente	99.6	99.7	257	331	
lentedag	98.8	99.6	266	294	
lentemaand	95.8	97.4	251	325	
lentes	96.9	98.9	234	277	
lente-ui	85.5	96.5	268	328	
lenteweer	97.9	99.0	249	308	
lentewind	94.4	94.0	224	317	
lentezon	98.7	98.2	246	346	
lento	32.4	24.5	235	354	
lenze	8.3	7.9	233	312	
lenzen	98.4	100.0	258	333	
lepel	99.6	100.0	250	323	
lepelaar	92.8	98.7	234	317	
lepelen	97.7	98.8	230	337	
lepelrek	75.7	92.9	264	373	
lepeltje	99.6	99.6	265	298	
leperd	79.2	58.7	243	331	
leporello	7.4	7.7	275	300	
leppen	27.6	21.4	253	324	
lepperen	17.4	12.5	246	273	
lepra	99.1	96.0	246	315	
lepreus	56.1	38.4	242	328	
leproos	72.9	69.3	256	302	
lepton	17.9	7.2	236	303	
leptosoom	53.9	53.4	274	303	
leraar	97.8	98.9	236	296	
leraren	97.0	99.7	249	312	
lerarenkamer	96.8	99.3	265	298	
lerares	99.6	100.0	246	287	
leren	99.5	99.3	220	308	
lering	66.3	92.1	262	320	
les	99.6	98.9	270	297	
lesaanbod	96.4	96.1	265	322	
lesauto	76.8	99.0	231	321	
lesavond	95.7	97.6	244	309	
lesbienne	95.5	97.7	256	324	
lesbisch	99.6	99.4	245	324	
lesblok	97.1	96.3	254	312	
lesbo	88.7	94.8	269	347	
lesboek	89.9	99.0	239	315	
lesboer	25.6	53.8	218	319	
lesbrief	57.6	87.7	273	335	
lesbus	35.0	57.8	256	344	
lesdag	98.1	98.6	270	302	
lesgebouw	94.7	97.0	237	347	
lesgeld	93.1	98.9	261	294	
lesgeven	97.9	100.0	248	330	
lesgever	98.7	91.8	246	346	
lesgroep	97.3	97.9	236	303	
lesinhoud	96.9	99.0	268	307	
lesjaar	88.9	96.6	246	313	
leskaart	85.3	96.7	222	284	
leskist	30.1	57.9	262	320	
leskoffer	78.6	90.0	265	337	
leslokaal	99.5	99.7	228	334	
lesmap	92.1	90.7	254	307	
lesmodule	96.6	99.0	247	322	
lesniveau	97.0	99.3	245	302	
lesopbouw	94.0	95.5	245	350	
lespakket	95.7	99.0	244	330	
lesplaats	82.5	81.7	228	305	
lesplan	93.1	98.4	273	323	
lesrooster	96.5	99.7	243	331	
lesruimte	97.2	99.6	265	298	
lesschema	96.7	97.3	284	310	
lessen	99.1	99.3	244	287	
lessenaar	96.6	97.3	216	313	
lessenrooster	99.1	76.7	241	325	
lessing	31.1	29.7	220	298	
lesstijl	90.3	96.4	249	324	
lesstof	86.9	99.4	249	352	
lest	36.7	71.4	246	317	
lestaak	84.6	90.7	246	317	
leste	37.9	61.2	229	290	
lestijd	96.8	99.3	230	287	
lesuitval	55.5	98.6	234	301	
lesuur	98.2	99.4	291	345	
lesvlucht	53.7	77.0	250	343	
leswagen	66.0	95.1	254	322	
lesweek	96.5	98.3	211	318	
letaal	32.4	29.2	260	296	
lethargie	72.9	72.2	245	310	
lethargisch	75.9	82.6	245	315	
letsel	97.5	99.0	257	330	
letten	91.2	94.9	238	373	
letter	98.8	99.0	266	308	
letterbak	89.0	94.3	239	314	
letterdoos	94.8	96.2	245	331	
letteren	96.2	95.5	277	327	
lettergreep	100.0	98.7	260	321	
letterkunde	100.0	100.0	263	300	
letterkundige	99.6	99.3	284	299	
letterlijk	99.6	99.3	234	323	
lettersoort	96.8	99.1	231	363	
lettertje	99.1	99.7	241	310	
lettertype	99.6	100.0	265	340	
letterwoord	100.0	92.8	262	334	
leugen	100.0	99.0	249	305	
leugenaar	100.0	99.0	255	314	
leugenachtig	97.5	98.4	255	321	
leugentje	98.8	99.7	266	304	
leuk	100.0	100.0	247	294	
leukemie	98.1	98.9	284	299	
leukerd	94.2	95.2	272	307	
leukheid	72.4	66.1	252	329	
leukjes	50.2	43.1	239	281	
leukocyt	56.0	59.5	251	325	
leukoplast	68.9	86.3	264	339	
leukweg	60.8	32.2	250	323	
leunen	99.6	100.0	235	331	
leuning	98.7	99.7	252	332	
leunstoel	94.0	99.4	244	352	
leur	67.9	62.5	236	303	
leurder	89.8	61.7	257	286	
leuren	94.6	87.4	254	301	
leurhandel	80.0	47.5	237	307	
leus	66.5	93.4	273	335	
leut	76.2	92.7	234	301	
leute	81.1	32.6	250	300	
leuter	79.6	97.0	258	319	
leuteren	92.2	96.6	230	307	
leuterig	82.9	72.0	240	308	
leuterkous	72.8	60.4	248	330	
leutig	91.0	69.9	235	304	
leuze	95.5	78.9	256	284	
leuzen	84.7	95.6	255	309	
leve	86.3	84.5	277	305	
level	89.6	90.8	272	299	
leven	99.6	100.0	237	334	
levend	99.1	100.0	234	317	
levende	99.2	99.6	272	286	
levenden	98.6	99.0	231	321	
levendig	99.6	99.3	239	283	
levenloos	95.8	98.4	252	321	
levensbehoefte	98.7	99.7	245	302	
levensdag	90.6	94.0	270	318	
levensdoel	100.0	99.7	241	301	
levensduur	99.6	98.8	261	274	
levensecht	99.6	99.0	252	314	
levensgenieter	100.0	98.9	229	290	
levensgevaar	99.1	100.0	243	346	
levensgezel	98.7	97.1	237	323	
levensgroot	98.2	99.3	236	300	
levenskracht	100.0	100.0	229	290	
levenslang	99.6	99.0	234	323	
levensles	99.2	99.4	262	324	
levenslied	99.2	99.3	258	310	
levenslijn	97.5	98.3	251	306	
levensloop	99.6	99.7	236	317	
levenslot	95.7	96.9	270	303	
levenslust	98.2	100.0	236	296	
levenslustig	97.9	98.0	250	320	
levensmoe	97.2	99.7	267	338	
levenspad	99.1	99.3	224	289	
levenspartner	98.2	100.0	231	363	
levenssap	91.2	92.8	275	294	
levensstijl	98.2	99.7	235	320	
levensteken	86.0	97.5	271	297	
levensuur	89.7	90.4	214	317	
levensvorm	99.6	99.3	264	319	
levensweg	99.6	99.7	261	333	
levenswerk	100.0	100.0	214	317	
levenswet	92.4	90.2	276	278	
levenswijze	99.1	99.3	246	320	
levenswil	96.3	96.9	258	301	
levenszin	97.5	98.2	256	344	
leventje	98.1	100.0	227	327	
lever	99.6	100.0	274	303	
leverancier	99.2	99.1	257	344	
leverantie	39.1	80.7	235	343	
leverbaar	100.0	99.7	263	316	
levercel	89.7	93.5	256	339	
leveren	100.0	99.4	235	354	
levering	99.1	98.6	229	302	
levertijd	91.8	100.0	268	328	
levertraan	98.3	97.5	251	342	
leverworst	98.4	100.0	258	311	
leviathan	36.7	40.9	236	283	
leviet	73.3	51.8	272	310	
levitatie	78.4	70.0	244	309	
levulose	19.7	7.7	245	324	
lexicaal	62.9	51.2	247	319	
lexicograaf	83.0	76.4	260	366	
lexicoloog	84.0	79.4	243	327	
lexicon	85.9	85.4	283	338	
lezen	99.5	100.0	220	352	
lezenaar	48.4	38.9	253	312	
lezenswaard	58.8	61.1	243	317	
lezer	99.2	99.7	252	306	
lezeres	98.1	96.8	275	325	
lezing	98.6	100.0	232	334	
liaan	93.4	94.6	254	314	
liaison	76.4	72.7	268	347	
liane	41.1	40.7	243	284	
lias	24.7	18.6	246	317	
liaspen	12.5	6.0	255	318	
libel	82.8	75.4	251	329	
libelle	87.0	98.7	242	322	
liberaal	98.2	98.2	237	344	
liberaliseren	96.2	98.2	247	299	
liberalisering	95.0	98.1	255	334	
liberalisme	98.1	99.4	273	335	
libero	78.8	72.1	243	309	
libertair	75.6	71.1	259	302	
libertijn	84.4	75.8	250	343	
libertijns	90.6	85.0	258	336	
libidineus	34.7	36.6	271	297	
libido	96.6	95.2	247	288	
librettist	47.1	56.9	239	283	
libretto	68.7	67.7	252	332	
librije	22.6	78.7	249	307	
librium	54.3	75.3	274	303	
licentiaat	92.4	39.8	235	318	
licentie	98.3	98.3	244	315	
lichaam	100.0	100.0	252	306	
lichaamsdeel	99.6	100.0	260	342	
lichaamstaal	98.2	98.3	289	314	
lichaamsvochten	100.0	78.3	35	34	
lichamelijk	98.8	99.0	274	303	
licht	99.6	99.7	274	319	
lichtbak	96.7	99.0	259	304	
lichtbeeld	94.0	94.0	244	348	
lichtblauw	99.6	98.7	263	316	
lichtbron	98.7	99.7	241	344	
lichtbruin	100.0	99.0	254	330	
lichtekooi	80.1	78.0	243	321	
lichtelijk	96.7	99.7	288	326	
lichten	99.1	100.0	235	327	
lichtend	96.4	96.0	264	319	
lichter	99.2	98.6	251	306	
lichtflits	100.0	99.3	237	300	
lichtgeel	98.0	98.2	266	288	
lichtgelovig	98.3	93.1	255	334	
lichtgeraakt	98.8	99.3	264	303	
lichtgewicht	99.2	100.0	276	325	
lichtgroen	99.2	98.7	269	313	
lichtheid	95.0	90.6	230	291	
lichting	97.6	99.0	259	329	
lichtinval	98.2	99.1	229	360	
lichtjaar	99.1	98.4	241	319	
lichtjes	99.2	99.7	259	321	
lichtknop	99.2	99.4	256	331	
lichtkogel	90.4	95.7	286	315	
lichtmast	97.9	98.7	252	329	
lichtmatroos	81.7	90.3	276	314	
lichtmis	95.8	87.1	276	285	
lichtnet	88.9	95.5	255	307	
lichtpen	89.6	87.1	232	309	
lichtpunt	100.0	99.0	233	331	
lichtrood	96.3	96.7	257	283	
lichtroze	97.0	96.6	242	345	
lichtschakelaar	99.2	98.5	265	343	
lichtschuw	95.2	94.0	264	332	
lichtstraal	99.6	99.7	255	313	
lichtvaardig	88.3	94.5	243	305	
lichtval	89.3	99.0	276	314	
lichtvlek	94.0	98.0	211	318	
lichtvoetig	96.6	98.1	249	327	
lichtzinnig	99.1	99.7	238	344	
lictor	11.9	6.3	208	318	
lid	99.6	99.0	268	317	
lidgeld	99.1	69.2	246	294	
lidkaart	100.0	74.1	231	309	
lidland	33.8	18.2	210	247	
lidmaat	78.5	78.7	269	346	
lidmaatschap	100.0	99.7	235	335	
lidnummer	96.8	99.0	232	301	
lidstaat	98.8	97.9	265	343	
lidwoord	100.0	99.3	240	317	
liebaard	30.6	7.9	264	303	
lied	98.2	99.0	237	312	
liedboek	74.2	89.4	265	289	
lieden	88.3	97.0	233	280	
liederlijk	89.9	89.1	229	290	
liedje	100.0	100.0	238	314	
lief	99.6	99.0	240	323	
liefdadig	99.5	99.3	227	310	
liefdadigheid	98.3	100.0	245	331	
liefde	99.2	100.0	255	325	
liefdeloos	96.6	99.1	277	336	
liefderijk	63.2	79.0	283	336	
liefdesbrief	99.2	99.4	257	334	
liefdesleven	99.6	100.0	239	329	
liefdeslied	98.6	99.6	228	285	
liefdevol	99.6	98.7	239	315	
liefdewerk	51.3	84.4	240	303	
liefelijk	86.5	88.0	249	341	
liefhebben	99.1	99.3	241	295	
liefhebber	99.2	99.7	261	333	
liefhebberen	37.6	46.3	263	300	
liefhebberij	97.4	98.8	247	346	
liefheid	84.9	87.2	251	279	
liefje	99.6	98.6	260	310	
liefjes	99.1	99.0	240	317	
liefkozen	98.3	97.3	254	307	
liefkozing	93.0	97.8	255	292	
lieflijk	97.8	95.5	285	325	
liefst	98.7	100.0	242	328	
lieftallig	100.0	99.1	231	340	
liegbeest	58.1	95.5	231	326	
liegen	99.5	99.7	225	356	
liep	95.5	96.2	259	329	
lier	94.6	97.3	274	307	
lieren	70.7	81.3	255	320	
liëren	51.0	62.3	264	332	
lies	93.6	97.3	246	346	
liesbreuk	96.6	99.3	250	305	
liet	71.0	76.6	218	319	
lieve	98.8	100.0	268	317	
lieveheer	73.0	70.7	230	287	
lieveheersbeestje	98.3	98.7	251	325	
lieveling	99.6	99.7	265	340	
lievelingsdier	99.6	99.6	276	285	
lieven	73.3	52.5	252	321	
liever	98.7	99.7	237	304	
lieverd	98.7	100.0	237	285	
lieverdje	97.6	99.0	260	321	
lieverlee	56.3	86.5	253	312	
lievig	18.5	59.4	230	337	
lifestyle	95.3	97.4	246	322	
liflafje	41.8	89.8	244	331	
lift	99.1	100.0	241	311	
liftboy	73.6	75.5	243	309	
liftdeur	97.0	99.7	248	325	
liften	99.6	99.4	248	330	
lifter	97.9	98.3	248	314	
liftschacht	96.2	97.9	250	356	
liga	97.6	95.0	265	316	
ligament	95.7	57.5	242	265	
ligatuur	51.6	34.3	246	322	
ligbad	98.1	99.7	281	318	
ligbank	97.8	99.1	283	336	
ligbed	94.5	95.6	289	314	
ligbox	60.5	79.3	240	335	
ligdag	70.1	71.0	257	283	
ligfiets	98.7	99.3	243	305	
liggeld	80.7	87.8	234	277	
liggen	99.6	99.3	254	293	
liggend	99.5	100.0	230	337	
ligger	81.0	88.7	244	317	
ligging	99.3	98.3	302	315	
lignine	22.3	13.2	229	360	
ligplaats	98.5	99.4	283	336	
ligstoel	98.7	99.7	249	319	
ligtaxi	60.9	59.8	253	309	
liguster	63.8	78.8	227	318	
ligwei	79.2	69.2	243	321	
ligweide	89.9	88.6	239	277	
lij	38.9	66.4	260	307	
lijboord	28.1	31.4	240	281	
lijdelijk	40.7	58.8	243	309	
lijden	99.2	99.4	262	329	
lijdend	98.0	99.0	266	308	
lijdensweg	98.8	99.3	263	283	
lijder	87.7	82.8	266	294	
lijderes	12.8	10.1	256	302	
lijdzaam	96.4	95.9	261	336	
lijf	99.1	99.7	236	319	
lijfarts	95.7	96.4	247	294	
lijfblad	82.7	90.3	249	324	
lijfeigene	95.5	91.9	258	310	
lijfelijk	92.3	94.3	247	312	
lijfgeur	99.6	93.7	261	336	
lijfje	95.8	100.0	250	314	
lijfknecht	90.6	90.4	246	317	
lijflied	96.0	98.3	236	303	
lijfrente	94.1	98.7	233	331	
lijfspreuk	98.6	99.7	232	334	
lijfstraf	99.2	99.4	265	338	
lijfwacht	99.5	99.7	230	326	
lijk	98.3	99.7	246	314	
lijkbleek	99.6	99.0	244	329	
lijkbus	50.8	54.8	291	345	
lijken	99.2	99.7	267	340	
lijkenhuis	98.2	96.0	238	319	
lijkenpikker	94.7	90.7	260	317	
lijkenzak	93.4	92.3	257	327	
lijkkist	96.2	96.2	221	331	
lijkkoets	92.1	92.6	252	326	
lijkmis	61.9	44.7	268	299	
lijkrede	86.6	78.3	275	311	
lijkschouwer	98.4	98.4	265	337	
lijkstoet	94.2	88.8	235	320	
lijkwa	10.5	3.0	247	292	
lijkwade	93.8	90.3	256	327	
lijkwagen	96.8	99.1	261	333	
lijkwit	90.9	94.9	254	333	
lijkzak	97.5	97.0	255	318	
lijm	100.0	99.6	263	283	
lijmen	99.6	99.7	247	313	
lijmer	72.1	69.4	268	299	
lijmerig	61.2	57.2	285	325	
lijmig	62.8	45.2	229	290	
lijmkam	67.6	78.7	266	336	
lijmoor	43.2	36.6	230	337	
lijmpot	96.3	99.1	256	339	
lijmstof	88.9	93.9	276	330	
lijn	99.2	98.6	249	307	
lijnbaan	56.7	94.9	236	289	
lijnboot	86.9	83.3	258	290	
lijnbus	98.3	98.5	244	287	
lijndienst	96.6	98.3	245	301	
lijnen	99.2	100.0	261	336	
lijnennet	62.8	73.9	255	314	
lijnolie	90.4	89.3	263	345	
lijnrecht	99.1	98.7	234	323	
lijntje	99.2	99.3	272	289	
lijntoestel	91.4	93.2	268	310	
lijntrekker	88.8	97.0	216	313	
lijnvlucht	99.6	97.2	250	298	
lijnwaad	56.4	26.7	261	336	
lijnzaad	92.8	95.4	250	272	
lijp	40.7	88.0	254	308	
lijs	23.9	53.5	231	326	
lijst	99.6	99.0	243	327	
lijstduwer	98.3	88.5	247	294	
lijsten	98.6	100.0	231	321	
lijster	95.0	97.8	252	292	
lijsterbes	97.6	95.6	261	334	
lijsttrekker	99.2	98.7	251	325	
lijven	87.2	92.4	222	318	
lijvig	96.3	95.3	256	355	
lijwaarts	25.5	43.8	274	341	
lijzebet	27.3	12.0	233	280	
lijzeil	37.2	50.2	248	332	
lijzen	34.2	41.6	208	276	
lijzig	64.4	87.3	284	281	
lijzij	19.0	46.0	269	308	
lijzijde	46.6	81.5	262	324	
lik	98.1	99.3	221	323	
likdoorn	96.7	98.7	221	321	
liken	72.8	75.0	58	101	
likeur	98.3	98.3	243	309	
likeurtje	95.5	98.1	236	283	
likhout	61.2	47.2	236	267	
likkebaarden	97.8	96.0	242	290	
likken	99.6	99.6	253	289	
likkepot	65.6	95.1	260	342	
likker	78.5	90.9	269	336	
likmevestje	57.9	93.2	20	31	
likstok	77.8	67.5	265	327	
likzout	56.1	69.3	266	305	
lil	29.2	24.1	223	272	
lila	93.1	97.0	276	285	
lillen	30.7	36.0	237	334	
lillend	66.0	41.8	31	38	
lilliputter	95.4	97.4	251	324	
liman	7.8	3.9	250	321	
limbisch	50.4	51.2	242	343	
limbo	86.7	90.7	230	330	
limbus	36.4	31.9	235	334	
limerick	87.5	90.7	277	305	
limiet	99.2	97.7	274	321	
limit	54.9	73.8	238	329	
limitatief	76.2	55.3	239	325	
limiteren	97.1	95.6	258	290	
limo	90.2	93.4	258	352	
limoen	100.0	99.0	254	330	
limoensap	98.1	99.3	277	305	
limonade	99.1	99.3	246	293	
limousine	97.6	97.3	263	316	
lindaan	13.7	15.9	289	314	
linde	97.8	96.9	237	304	
linden	84.1	89.5	245	350	
lineair	95.1	96.7	234	258	
line-up	95.0	94.3	230	330	
lingerie	95.8	97.4	251	329	
linguïst	90.8	91.0	264	305	
linguïstiek	92.3	89.7	247	336	
liniaal	98.3	94.7	255	318	
liniatuur	53.8	51.9	271	324	
linie	98.3	96.8	255	326	
liniëren	87.4	89.3	268	333	
liniment	10.2	9.8	265	301	
link	98.5	100.0	274	334	
linken	98.3	98.0	244	322	
linker	96.6	100.0	247	306	
linkerarm	99.5	97.8	210	336	
linkerbeen	98.8	98.4	265	337	
linkerd	56.4	57.9	256	355	
linkerdij	89.4	87.1	277	319	
linkerhand	98.8	99.3	274	307	
linkerhelft	98.3	99.3	249	319	
linkerkant	99.6	98.9	236	289	
linkeroog	97.9	98.7	254	334	
linkeroor	98.8	96.4	260	296	
linkerrij	85.6	84.8	249	360	
linkervoet	98.3	97.0	251	319	
linkerzij	94.3	97.4	260	321	
linkmiegel	5.6	72.1	29	34	
links	98.7	98.1	245	324	
linksaf	98.1	100.0	284	281	
linksback	67.5	88.1	233	335	
linksboven	96.4	99.0	234	317	
linkse	97.0	97.5	249	292	
linkshalf	48.8	70.9	255	318	
linkshandig	98.2	98.3	239	302	
linksheid	65.1	75.3	235	319	
linksig	13.2	41.2	240	317	
linksom	95.2	100.0	240	306	
linksonder	98.3	97.3	255	346	
linksvoor	97.5	98.8	251	344	
linnen	97.6	100.0	263	316	
linnengoed	96.0	99.7	266	305	
lino	44.9	45.3	275	325	
linoleum	92.8	96.0	249	312	
linolzuur	83.6	89.8	231	321	
lint	99.5	99.3	230	321	
lintdorp	74.1	76.4	240	277	
lintje	99.0	99.3	215	316	
lintmeter	97.9	74.2	249	327	
lintvis	39.7	43.8	255	337	
lintworm	97.8	99.7	235	319	
linze	56.8	74.5	234	277	
lip	99.6	99.4	276	325	
lipide	80.3	71.3	230	297	
lipje	98.5	99.3	274	321	
liplap	15.3	12.0	235	336	
liplezen	99.1	99.6	230	291	
lipogram	55.0	51.2	302	315	
liposuctie	98.0	97.2	265	338	
lippen	100.0	99.7	284	310	
lippendienst	66.5	64.8	258	290	
lippenstift	100.0	98.9	264	290	
lipsslot	15.1	43.3	227	258	
lipstick	96.4	98.8	234	258	
lipstift	67.8	70.6	206	301	
lipvis	61.4	67.0	232	341	
liquida	59.3	47.4	233	346	
liquidatie	97.4	97.7	245	324	
liquide	93.9	95.7	258	315	
liquideren	95.2	97.9	220	308	
liquiditeit	94.9	95.7	269	319	
lira	58.3	56.7	250	343	
lire	71.9	81.3	266	309	
lis	74.4	73.4	263	317	
lisdodde	53.1	64.6	249	324	
lispelen	92.0	86.9	251	306	
lissen	52.3	59.4	223	324	
list	96.7	96.8	252	329	
